
time = 0.04 min, beta = 0.450000, L = 40, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.09 min, beta = 0.450000, L = 60, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.15 min, beta = 0.450000, L = 80, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.24 min, beta = 0.450000, L = 100, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.455000, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.04 min, beta = 0.455000, L = 40, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.09 min, beta = 0.455000, L = 60, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.15 min, beta = 0.455000, L = 80, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.24 min, beta = 0.455000, L = 100, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.460000, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.04 min, beta = 0.460000, L = 40, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.09 min, beta = 0.460000, L = 60, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.15 min, beta = 0.460000, L = 80, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.24 min, beta = 0.460000, L = 100, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.420000, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.04 min, beta = 0.420000, L = 40, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.420000, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.04 min, beta = 0.420000, L = 40, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.09 min, beta = 0.420000, L = 60, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.16 min, beta = 0.420000, L = 80, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.25 min, beta = 0.420000, L = 100, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.425000, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.04 min, beta = 0.425000, L = 40, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.09 min, beta = 0.425000, L = 60, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.16 min, beta = 0.425000, L = 80, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.25 min, beta = 0.425000, L = 100, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.430000, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.04 min, beta = 0.430000, L = 40, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.09 min, beta = 0.430000, L = 60, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.16 min, beta = 0.430000, L = 80, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.25 min, beta = 0.430000, L = 100, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.435000, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.04 min, beta = 0.435000, L = 40, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.09 min, beta = 0.435000, L = 60, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.16 min, beta = 0.435000, L = 80, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.26 min, beta = 0.435000, L = 100, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.440000, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 0.400000, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.04 min, beta = 0.400000, L = 40, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.09 min, beta = 0.400000, L = 60, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.16 min, beta = 0.400000, L = 80, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.25 min, beta = 0.400000, L = 100, iterations = 10000, iter_bet_meas = 1, num_measures = 10000
